구분,좌표
강릉역,"37.76421983218184, 128.8992041674189"
경산역,"35.81950747477297, 128.72761154039497"
계룡역,"36.27309177598409, 127.26529299807495"
광명역,"37.41625782016098, 126.88448859069923"
광주송정역,"35.13746523872277, 126.79150229024978"
구포역,"35.205512856038574, 128.99712540159297"
김천구미역,"36.11356042231583, 128.18097508272928"
논산역,"36.20734989250353, 127.09247954040238"
대전역,"36.332446983179636, 127.43417881156915"
덕정역,"37.84331764945438, 127.06155391344818"
동서울터미널,"37.53381549844025, 127.09396721159278"
동대구역,"35.87977589915948, 128.62851560786152"
마산역,"35.23612810901364, 128.57701165183857"
만종역,"37.35335599639634, 127.89325643063057"
목포역,"34.79187952145102, 126.38617626921146"
부강역,"36.532352259661785, 127.36536662506614"
부산역,"35.114726170723, 129.0393560085466"
부평역,"37.49081365739067, 126.72365049182518"
서울역,"37.55497126215103, 126.97073379025977"
서대전역,"36.322555771429656, 127.40308255474247"
수서역,"37.48757063797916, 127.10134595576984"
수원역,"37.2660663908338, 126.99959985718405"
신경주역,"35.79833919151062, 129.13899140801277"
신탄진역,"36.44999528051959, 127.42809302147914"
육군훈련소,"36.1068427140173,127.098385280195"
영동역,"36.1720867960425,127.786281760168"
영천역,"35.959521415625,128.939164635821"
오송역,"36.62015899189449,127.32753205680102"
오근장역,"36.70015315578269,127.47857106935462"
용산역,"37.5300763645794,126.964824061815"
울산역,"35.5515431908006,129.138660047414"
원주역,"37.3159072512531,127.92178075239475"
익산역,"35.94021739866028,126.94628827402263"
장성역,"35.300022173219034,126.78019386686799"
전주역,"35.8498531247183,127.16180338402"
5탄약창,"37.08972556301618, 128.26371041343324"
조치원역,"36.60150401647131, 127.29715245575255"
증평역,"36.778348593950966, 127.5832520999342"
지평역,"37.476623296254864, 127.6296270539202"
진주역,"35.151806801955864, 128.11856605358483"
진해역,"35.153663192788386, 128.6601471845608"
창원역,"35.2574034088382, 128.60679859692246"
창원중앙역,"35.2418468807736, 128.70220890709152"
천안아산역,"36.794787501667564, 127.1045178827423"
청량리역,"37.58094321037122, 127.04846301349538"
춘천역,"37.88508169184527, 127.71712965577791"
퇴계원역,"37.6484518968188, 127.14384726926606"
평택역,"36.99135921528864, 127.08491662507504"
포항역,"36.07246541685387, 129.3434485403998"
홍성역,"36.59974208673949, 126.6811674557525"
